Ind_ID,label
5008827,1
5009744,1
5009746,1
5009749,1
5009752,1
5009753,1
5009754,1
5009894,1
5010864,1
5010868,1
5010869,1
5018498,1
5018501,1
5018503,1
5021303,1
5021310,1
5021314,1
5021430,1
5021431,1
5021998,1
5022053,1
5022617,1
5023781,1
5023831,1
5024071,1
5024213,1
5024916,1
5024917,1
5025127,1
5028580,1
5029028,1
5029311,1
5033453,1
5033514,1
5033916,1
5036469,1
5036590,1
5036660,1
5036795,1
5041522,1
5042064,1
5045888,1
5045894,1
5045895,1
5046324,1
5046328,1
5047662,1
5048300,1
5048301,1
5050603,1
5050606,1
5050671,1
5051160,1
5051161,1
5052659,1
5052661,1
5052877,1
5052879,1
5052882,1
5053254,1
5054063,1
5054068,1
5054524,1
5054525,1
5058345,1
5058348,1
5058350,1
5058352,1
5058530,1
5058531,1
5058532,1
5061360,1
5061396,1
5061636,1
5061691,1
5062136,1
5062137,1
5065348,1
5065462,1
5065518,1
5068389,1
5068456,1
5068651,1
5069216,1
5069218,1
5069307,1
5078820,1
5078945,1
5078946,1
5079166,1
5079167,1
5079168,1
5085886,1
5089162,1
5089959,1
5090166,1
5090214,1
5090216,1
5092087,1
5092245,1
5092479,1
5096527,1
5096528,1
5096743,1
5097065,1
5100430,1
5105045,1
5105056,1
5106077,1
5113621,1
5113933,1
5113944,1
5114249,1
5114253,1
5115604,1
5115606,1
5115608,1
5115610,1
5115611,1
5116035,1
5116036,1
5116258,1
5116301,1
5116302,1
5116304,1
5116305,1
5116906,1
5117313,1
5117413,1
5118046,1
5118275,1
5118278,1
5118279,1
5118280,1
5118283,1
5118541,1
5125289,1
5125299,1
5125708,1
5125716,1
5125761,1
5125763,1
5125934,1
5126278,1
5135344,1
5135345,1
5135346,1
5135485,1
5135487,1
5135636,1
5135990,1
5135991,1
5142183,1
5142184,1
5142185,1
5142361,1
5142362,1
5142456,1
5142458,1
5142459,1
5143342,1
5145690,1
5145817,1
5146005,1
5146079,1
5146167,1
5146444,1
5148932,1
5148934,1
5149188,1
5149190,1
5149192,1
5149828,1
5149834,1
5149838,1
5118538,0
5069057,0
5066689,0
5086062,0
5113717,0
5066765,0
5105227,0
5054648,0
5067187,0
5105818,0
5033574,0
5125478,0
5046340,0
5054058,0
5022326,0
5065764,0
5067849,0
5097169,0
5048583,0
5115566,0
5052722,0
5067723,0
5056077,0
5022275,0
5143016,0
5066709,0
5021445,0
5053592,0
5116163,0
5041273,0
5066627,0
5125399,0
5067345,0
5053711,0
5096234,0
5125158,0
5143231,0
5062688,0
5105685,0
5115984,0
5085769,0
5065363,0
5140074,0
5067643,0
5091963,0
5053637,0
5067149,0
5096424,0
5046283,0
5029348,0
5096061,0
5028917,0
5117778,0
5095310,0
5050655,0
5033817,0
5052963,0
5113159,0
5143235,0
5132800,0
5090549,0
5054522,0
5051061,0
5010707,0
5028984,0
5028615,0
5126034,0
5090470,0
5021775,0
5046415,0
5065606,0
5117314,0
5009195,0
5139548,0
5096416,0
5042286,0
5050729,0
5038897,0
5050973,0
5044935,0
5113539,0
5085990,0
5033452,0
5051240,0
5065335,0
5145978,0
5105614,0
5038845,0
5105556,0
5028383,0
5009980,0
5062075,0
5009706,0
5146463,0
5112662,0
5096796,0
5066843,0
5066597,0
5047704,0
5009074,0
5090954,0
5143019,0
5118617,0
5116018,0
5139662,0
5042232,0
5125317,0
5068038,0
5038814,0
5095356,0
5037266,0
5052865,0
5096211,0
5023280,0
5132340,0
5136012,0
5045917,0
5041073,0
5149660,0
5022756,0
5036562,0
5117754,0
5125281,0
5149039,0
